id,intent,spelling,link,0,1,2,is_attack
0,0.550671036,0,0,0.955211937,0.022427827,0.022360178,0
1,0,0.917915001,0,0.925314903,0.037410468,0.037274573,1
2,0.864664717,0.864664717,0,0.90229398,0.048945632,0.048760384,1
3,0,0.39346934,0,0.932917118,0.033615366,0.033467509,1
4,0.981684361,0.39346934,0,0.925527394,0.037306674,0.037165914,1
5,0.998338443,0.917915001,0.63,0.952005804,0.024037868,0.023956312,1
6,0,0.864664717,0.05,0.93287766,0.0336225,0.033499856,0
7,0,0.632120559,0,0.92538023,0.037386477,0.037233323,1
8,0.798103482,0.39346934,0,0.955165446,0.022450415,0.022384172,1
9,0.550671036,0.864664717,0,0.955187619,0.022447208,0.022365211,0
10,0.939189937,0.864664717,0,0.915236115,0.042449027,0.042314883,1
11,0.998338443,0.77686984,0.63,0.902282476,0.048943225,0.048774306,1
12,0,0.632120559,0,0.925527692,0.037306421,0.037165884,0
13,0.864664717,0.632120559,0.99,0.948262811,0.025910463,0.025826741,1
14,0,0.632120559,0,0.948175192,0.025943797,0.025880985,1
15,0,0.864664717,0,0.925374031,0.037386578,0.037239313,1
16,0,0,0,0.943800151,0.02814387,0.028055983,1
17,0,0.864664717,0,0.932906985,0.033613376,0.033479635,0
18,0.550671036,0,0,0.955146849,0.022463826,0.022389341,0
19,0.909282047,0.39346934,0,0.925186396,0.037465811,0.037347768,0
20,0.550671036,0,0,0.932629704,0.033741191,0.03362906,0
21,0.864664717,0.39346934,0,0.948419869,0.025838217,0.025741933,1
22,0.798103482,0.632120559,0,0.925313234,0.037411895,0.03727486,0
23,0,0.632120559,0,0.932293177,0.033895336,0.033811525,1
24,0.550671036,0,0,0.938930869,0.0305929,0.03047622,0
25,0.550671036,0.632120559,0.06,0.93291539,0.033616956,0.033467606,0
26,0.864664717,0.917915001,0.05,0.924348533,0.037896,0.037755433,1
27,0.972676278,0.632120559,0,0.938913822,0.030589256,0.030496897,1
28,0.550671036,0,0,0.932930112,0.033587087,0.033482831,0
29,0,0.39346934,0,0.887748361,0.056211069,0.056040611,1
30,0.550671036,0.39346934,0,0.938987732,0.030566819,0.030445402,1
31,0,0,0,0.925384343,0.037383944,0.037231714,0
32,0.864664717,0.39346934,0,0.932907104,0.033609632,0.033483237,1
33,0.798103482,0.632120559,0,0.955187619,0.0224472,0.022365212,1
34,0.972676278,0.39346934,0,0.943941414,0.028064109,0.027994467,1
35,0.550671036,0.39346934,0,0.951847613,0.024110893,0.02404152,1
36,0.550671036,0.864664717,0,0.943857074,0.028107466,0.028035466,1
37,0.550671036,0,0,0.925343573,0.037389357,0.037267111,1
38,0.909282047,0.632120559,0,0.960435092,0.019815443,0.019749444,1
39,0.909282047,0.632120559,0,0.943938911,0.028075272,0.027985791,1
40,0.698805788,0,0,0.932798147,0.033667311,0.033534501,1
41,0,0.632120559,0,0.938818395,0.030651061,0.030530544,0
42,0,0.39346934,0,0.955121994,0.022472922,0.02240508,1
43,0,0,0,0.955121994,0.022472911,0.022405069,1
44,0.550671036,0,0,0.943869591,0.028112648,0.028017785,0
45,0.550671036,0,0,0.938818693,0.0306508,0.030530533,0
46,0.864664717,0.39346934,0,0.932904959,0.033611644,0.033483453,1
47,0.798103482,0.39346934,0,0.925437868,0.03735375,0.037208345,1
48,0.98772266,0.969802617,0.57,0.948162079,0.025953328,0.025884559,1
49,0,0.77686984,0,0.943956017,0.028058199,0.027985759,1
50,0.909282047,0.917915001,0,0.925323129,0.037404232,0.037272654,1
51,0,0.39346934,0,0.925527692,0.037306439,0.037165899,1
52,0.909282047,0.917915001,0,0.938709855,0.03069246,0.030597642,1
53,0.909282047,0.632120559,0.99,0.948064387,0.026001148,0.025934478,1
54,0.909282047,0.77686984,0,0.938872576,0.030609049,0.030518381,1
55,0.909282047,0.77686984,0,0.932877183,0.033623002,0.033499818,1
56,0.909282047,0,0,0.94817096,0.025946531,0.025882527,1
57,0,0.39346934,0,0.960434973,0.01981562,0.019749464,0
58,0.996302136,0,0,0.964535892,0.017761106,0.017702986,1
59,0,0.39346934,0,0.943869591,0.028112628,0.028017765,1
60,0,0.39346934,0,0.915910363,0.042115487,0.04197415,1
61,0.909282047,0.864664717,0,0.964535832,0.017761221,0.01770298,1
62,0,0,0,0.94392544,0.028090641,0.027983937,1
63,0.550671036,0,0,0.932356536,0.033881057,0.033762384,0
64,0.972676278,0.39346934,0,0.955226481,0.02242545,0.022348037,1
65,0.550671036,0.39346934,0,0.925129533,0.037509885,0.037360519,1
66,0.698805788,0.39346934,0,0.951893926,0.024093106,0.024012994,0
67,0,0.77686984,0,0.925391734,0.037386514,0.037221704,1
68,0.550671036,0.632120559,0,0.932916462,0.033616073,0.033467524,1
69,0,0.632120559,0,0.960408509,0.019830123,0.019761333,0
70,0.864664717,0.39346934,0,0.957577527,0.021241846,0.021180591,1
71,0.550671036,0,0,0.932775974,0.033677097,0.033546932,0
72,0.550671036,0.632120559,0,0.95514679,0.022463882,0.022389324,1
73,0.909282047,0.632120559,0,0.932890773,0.033622473,0.033486716,1
74,0.550671036,0.39346934,0,0.925527394,0.037306659,0.037165925,1
75,0,0.39346934,0,0.955187619,0.0224472,0.022365211,0
76,0.550671036,0,0,0.962676644,0.01869298,0.018630434,0
77,0.909282047,0.39346934,0,0.93291682,0.033615641,0.033467509,1
78,0,0.632120559,0,0.925128639,0.037487891,0.037383411,1
79,0.550671036,0.39346934,0,0.925527453,0.037306655,0.037165906,1
80,0,0.39346934,0,0.925527692,0.037306432,0.037165903,1
81,0.550671036,0.632120559,0,0.938989878,0.030571371,0.030438755,1
82,0.550671036,0.77686984,0,0.95514679,0.022463851,0.022389334,1
83,0.798103482,0,0,0.943956077,0.028058141,0.027985753,0
84,0,0.39346934,0,0.964583635,0.017737141,0.017679237,0
85,0.939189937,0.632120559,0,0.948362112,0.025870275,0.025767658,1
86,0.550671036,0.632120559,0,0.93293035,0.033586815,0.033482835,0
87,0.698805788,0.77686984,0,0.932905197,0.033611391,0.033483393,1
88,0.550671036,0.39346934,0,0.915720701,0.042221103,0.042058166,1
89,0.972676278,0.39346934,0,0.948419929,0.025838183,0.02574192,1
90,0.550671036,0,0,0.932629406,0.033741459,0.033629075,1
91,0.909282047,0.864664717,0,0.948171198,0.025953911,0.025874864,1
92,0.939189937,0.39346934,0,0.92552793,0.037306249,0.037165884,1
93,0.550671036,0.39346934,0,0.964399159,0.017826075,0.017774792,0
94,0,0.632120559,0,0.932908118,0.033610668,0.033481169,1
95,0,0,0,0.948162735,0.02595279,0.025884427,1
96,0,0.77686984,0,0.948162675,0.025952876,0.02588447,0
97,0.864664717,0.39346934,0,0.955224514,0.022425042,0.022350444,1
98,0.550671036,0.632120559,0,0.932890177,0.033616867,0.033493001,0
99,0.98772266,0.864664717,0,0.94351542,0.028280195,0.028204404,1
100,0,0.77686984,0,0.957631052,0.021215675,0.02115329,1
101,0,0.632120559,0,0.948420525,0.025837552,0.025741929,0
102,0,0.632120559,0,0.948419809,0.025838301,0.025741922,0
103,0.864664717,0.632120559,0,0.932818055,0.033648964,0.03353297,0
104,0.909282047,0.864664717,0,0.957948744,0.021061353,0.020989912,1
105,0,0.77686984,0,0.948364913,0.02586757,0.025767526,1
106,0.939189937,0,0,0.952005804,0.024037907,0.023956304,1
107,0.550671036,0.632120559,0,0.955144405,0.022462294,0.022393279,0
108,0.798103482,0.39346934,0,0.932843685,0.033645567,0.033510771,0
109,0,0.39346934,0,0.903961182,0.048109654,0.047929186,1
110,0,0.77686984,0,0.962403715,0.01882901,0.018767292,1
111,0,0.39346934,0,0.960180104,0.01993837,0.019881506,1
112,0.798103482,0.917915001,0,0.932663083,0.033724539,0.033612378,1
113,0.909282047,0.39346934,0,0.939040661,0.03054196,0.03041737,0
114,0.909282047,0.632120559,0.99,0.925438404,0.037353288,0.037208334,1
115,0.698805788,0,0,0.951973438,0.024051819,0.023974774,0
116,0.939189937,0.632120559,0,0.94386971,0.028112566,0.02801777,1
117,0.550671036,0,0,0.938739538,0.030676121,0.030584384,0
118,0.550671036,0.77686984,0,0.932713151,0.033699196,0.033587642,0
119,0,0,0,0.938980401,0.030567029,0.030452559,1
120,0.939189937,0.632120559,0,0.95205301,0.024019139,0.023927851,1
121,0.550671036,0.77686984,0,0.952005863,0.02403786,0.023956306,1
122,0.939189937,0.632120559,0,0.925390244,0.037387993,0.037221778,1
123,0,0.917915001,0,0.943514526,0.028280934,0.028204499,0
124,0,0.77686984,0,0.932629347,0.033741523,0.033629119,1
125,0,0.77686984,0,0.948419809,0.025838332,0.025741903,1
126,0.864664717,0.39346934,0,0.925391316,0.037387073,0.037221592,1
127,0.550671036,0.39346934,0,0.925383627,0.037384726,0.037231665,0
128,0.909282047,0.632120559,0.99,0.938872576,0.030609,0.030518364,1
129,0.864664717,0.39346934,0,0.9579826,0.021038797,0.020978607,1
130,0,0,0,0.915721059,0.042220816,0.042058133,0
131,0.550671036,0.632120559,0,0.948362827,0.025869433,0.025767751,1
132,0.550671036,0.39346934,0,0.938990295,0.030570962,0.030438755,0
133,0.798103482,0.39346934,0,0.966385901,0.016833004,0.016781101,1
134,0.972676278,0.632120559,0,0.902258277,0.048976354,0.048765402,1
135,0.550671036,0.77686984,0,0.955121756,0.022473108,0.022405099,0
136,0.798103482,0.39346934,0,0.943857014,0.028107511,0.028035481,1
137,0,0.864664717,0,0.932845294,0.033642165,0.033512551,0
138,0,0.39346934,0,0.932689369,0.033709761,0.033600911,0
139,0.864664717,0.917915001,0,0.932714045,0.033691451,0.033594508,1
140,0.550671036,0.632120559,0,0.938989699,0.030571435,0.030438824,0
141,0.550671036,0.39346934,0.06,0.962492049,0.018782442,0.01872549,0
142,0.939189937,0.864664717,0,0.925391734,0.037386592,0.037221633,1
143,0.698805788,0.77686984,0,0.925131261,0.037497766,0.037370939,1
144,0.550671036,0.39346934,0,0.925133884,0.03749717,0.03736895,1
145,0.972676278,0.77686984,0,0.932876289,0.033623803,0.033499908,1
146,0.550671036,0.632120559,0,0.967971146,0.0160386,0.015990265,0
147,0.959237796,0.39346934,0,0.944099307,0.028008679,0.02789202,1
148,0.864664717,0.864664717,0.99,0.932357967,0.033879902,0.033762194,1
149,0,0,0,0.932629645,0.033741284,0.033629056,1
150,0.996302136,0,0,0.948170841,0.025946686,0.025882479,1
151,0.864664717,0.632120559,0,0.94380033,0.028143773,0.028055925,1
152,0.798103482,0.77686984,0,0.925375104,0.037385479,0.037239414,1
153,0,0.632120559,0,0.925162971,0.037473802,0.037363246,0
154,0.550671036,0,0,0.91572082,0.042221006,0.042058151,0
155,0,0,0,0.944060922,0.028029414,0.027909609,0
156,0,0.864664717,0.13,0.925186157,0.037466023,0.037347794,0
157,0.996302136,0.39346934,0,0.951847196,0.024111265,0.024041567,1
158,0,0,0,0.938987732,0.030566938,0.030445326,0
159,0.798103482,0,0,0.938937366,0.030589726,0.030472925,1
160,0,0.632120559,0,0.925375402,0.037385438,0.037239209,0
161,0.550671036,0.77686984,0,0.943941414,0.028064106,0.027994486,1
162,0.939189937,0.632120559,0,0.938999832,0.030557515,0.030442655,1
163,0.698805788,0.39346934,0,0.932713151,0.033699241,0.033587642,1
164,0.98772266,0.917915001,0,0.952082396,0.024006261,0.023911361,1
165,0.909282047,0.77686984,0,0.943689942,0.028194506,0.028115608,1
166,0,0.39346934,0,0.954874158,0.022595977,0.022529842,1
167,0.98772266,0,0,0.9328987,0.03360248,0.03349876,1
168,0.909282047,0.864664717,0,0.948372662,0.025859289,0.025768064,1
169,0.864664717,0.632120559,0,0.943800271,0.028143829,0.028055951,0
170,0.996302136,0.77686984,0,0.915954411,0.042097881,0.0419477,1
171,0.550671036,0,0,0.885470927,0.057365447,0.057163626,0
172,0.550671036,0.39346934,0.06,0.938980639,0.030566709,0.030452613,0
173,0.698805788,0,0,0.943856716,0.02810774,0.028035566,1
174,0.550671036,0.39346934,0,0.938235641,0.030925123,0.030839253,1
175,0.909282047,0.632120559,0,0.95514673,0.02246389,0.022389377,1
176,0.550671036,0.632120559,0,0.932770491,0.033670977,0.033558477,0
177,0.550671036,0.39346934,0,0.943967879,0.028058944,0.027973132,1
178,0.98772266,0.77686984,0,0.938990176,0.030571073,0.030438779,1
179,0.550671036,0,0,0.948190033,0.0259423,0.025867615,0
180,0.550671036,0.632120559,0,0.938989282,0.0305718,0.030438937,0
181,0,0.77686984,0,0.955158949,0.022456909,0.02238417,1
182,0.550671036,0.864664717,0,0.938933253,0.030579465,0.030487319,1
183,0,0,0,0.960480154,0.0197904,0.019729488,1
184,0.98772266,0.632120559,0,0.932939827,0.033596829,0.033463344,1
185,0,0.632120559,0.13,0.962676644,0.018692963,0.018630423,0
186,0.329679954,0.632120559,0,0.925391018,0.037387293,0.037221655,0
187,0.550671036,0.39346934,0,0.925129294,0.037487384,0.03738331,0
188,0.909282047,0.917915001,0,0.902274847,0.048964866,0.048760269,1
189,0.864664717,0.39346934,0,0.924385726,0.037872776,0.037741512,1
190,0,0.77686984,0,0.932766974,0.033673763,0.033559296,1
191,0,0.632120559,0,0.916164696,0.042003762,0.041831519,0
192,0,0,0,0.885491908,0.057353601,0.057154525,1
193,0.798103482,0.632120559,0,0.938930213,0.030581865,0.030487947,1
194,0.798103482,0.39346934,0,0.938939929,0.030587442,0.030472627,1
195,0.550671036,0,0,0.93904227,0.030538084,0.03041967,0
196,0.864664717,0.864664717,0,0.955226362,0.022425609,0.022348044,1
197,0.939189937,0,0,0.932907522,0.033612743,0.033479676,1
198,0.864664717,0.864664717,0,0.943944871,0.02807596,0.027979134,1
199,0.864664717,0.917915001,0.05,0.932460725,0.033825248,0.033714022,1
200,0.550671036,0.77686984,0,0.925382376,0.037384078,0.037233483,1
201,0,0,0,0.943771303,0.028156182,0.028072491,0
202,0,0.39346934,0,0.91572082,0.042220972,0.042058166,1
203,0,0.39346934,0,0.925133526,0.037497483,0.037369017,1
204,0.798103482,0.77686984,0,0.92438513,0.037872065,0.037742879,1
205,0,0.39346934,0,0.948420167,0.025837937,0.025741894,1
206,0.909282047,0.39346934,0,0.925392687,0.037385698,0.037221644,1
207,0.698805788,0.632120559,0,0.948190033,0.025942383,0.025867578,1
208,0.939189937,0.77686984,0,0.964535832,0.017761216,0.01770295,1
209,0.798103482,0.77686984,0,0.932689548,0.033709541,0.033600863,1
210,0.798103482,0.77686984,0,0.96037215,0.019847823,0.019780058,1
211,0.550671036,0.39346934,0,0.94817102,0.025954038,0.025874928,0
212,0.550671036,0.77686984,0,0.925344825,0.037388347,0.03726685,0
213,0.864664717,0.77686984,0.05,0.943850219,0.028118758,0.028031003,1
214,0.550671036,0,0,0.932242513,0.033935167,0.033822306,0
215,0.550671036,0.632120559,0,0.932794809,0.033672489,0.033532698,0
216,0,0.632120559,0.13,0.92552793,0.037306193,0.037165888,0
217,0.864664717,0.864664717,0,0.94392544,0.028090602,0.027983928,1
218,0,0.39346934,0,0.932889938,0.033617046,0.033492982,1
219,0.550671036,0.39346934,0,0.943894565,0.028104922,0.028000472,0
220,0.550671036,0.39346934,0,0.925391972,0.037386417,0.037221659,0
221,0.550671036,0.39346934,0,0.925392151,0.037386201,0.037221581,0
222,0.550671036,0,0,0.925391197,0.037387144,0.037221685,1
223,0,0.39346934,0,0.955000401,0.022531953,0.0224676,1
224,0.909282047,0.864664717,0,0.955144346,0.022462392,0.022393277,1
225,0.550671036,0.39346934,0,0.962491095,0.018783268,0.018725634,0
226,0,0.864664717,0,0.94826293,0.025910318,0.025826732,0
227,0.998338443,0.632120559,0.63,0.957903147,0.021083709,0.021013197,1
228,0.939189937,0.39346934,0,0.916168272,0.042002544,0.041829199,1
229,0.996302136,0.77686984,0,0.96638608,0.016832836,0.016781094,1
